GEMS Station Number;Sample Date;Sample Time;Depth;Parameter Code;Analysis Method Code;Value Flags;Value;Unit;Data Quality;Status
ZAF00221;1995-02-13;12:30;0.0;Alk-Tot;0;;74.5;mg/l;Fair;
ZAF00221;1995-02-13;12:30;0.0;EC;0;;400.0;µS/cm;Fair;
ZAF00221;1995-02-13;12:30;0.0;DRP;0;;0.033;mg/l;Fair;
ZAF00221;1995-03-02;10:30;0.0;Alk-Tot;0;;63.3;mg/l;Fair;
ZAF00221;1995-03-02;10:30;0.0;EC;0;;359.0;µS/cm;Fair;
ZAF00221;1995-03-02;10:30;0.0;DRP;0;;0.061;mg/l;Fair;
ZAF00221;1995-03-15;13:30;0.0;Alk-Tot;0;;80.2;mg/l;Fair;
ZAF00221;1995-03-15;13:30;0.0;EC;0;;372.0;µS/cm;Fair;
ZAF00221;1995-03-15;13:30;0.0;DRP;0;;0.057;mg/l;Fair;
ZAF00221;1995-07-24;11:30;0.0;Alk-Tot;0;;114.1;mg/l;Fair;
ZAF00221;1995-07-24;11:30;0.0;EC;0;;718.0;µS/cm;Fair;
ZAF00221;1995-07-24;11:30;0.0;DRP;0;;0.044;mg/l;Fair;
ZAF00221;1995-07-11;10:30;0.0;Alk-Tot;0;;110.7;mg/l;Fair;
ZAF00221;1995-07-11;10:30;0.0;EC;0;;734.0;µS/cm;Fair;
ZAF00221;1995-07-11;10:30;0.0;DRP;0;;0.012;mg/l;Fair;
ZAF00221;1995-06-27;12:00;0.0;Alk-Tot;0;;109.1;mg/l;Fair;
ZAF00221;1995-06-27;12:00;0.0;EC;0;;684.0;µS/cm;Fair;
ZAF00221;1995-06-27;12:00;0.0;DRP;0;;0.03;mg/l;Fair;
ZAF00221;1995-06-20;12:50;0.0;Alk-Tot;0;;108.4;mg/l;Fair;
ZAF00221;1995-06-20;12:50;0.0;EC;0;;724.0;µS/cm;Fair;
ZAF00221;1995-06-20;12:50;0.0;DRP;0;;0.014;mg/l;Fair;
ZAF00221;1995-06-05;13:30;0.0;Alk-Tot;0;;105.3;mg/l;Fair;
ZAF00221;1995-06-05;13:30;0.0;EC;0;;582.0;µS/cm;Fair;
ZAF00221;1995-06-05;13:30;0.0;DRP;0;;0.01;mg/l;Fair;
ZAF00221;1995-05-22;13:30;0.0;Alk-Tot;0;;104.7;mg/l;Fair;
ZAF00221;1995-05-22;13:30;0.0;EC;0;;495.0;µS/cm;Fair;
ZAF00221;1995-05-22;13:30;0.0;DRP;0;;0.018;mg/l;Fair;
ZAF00221;1995-05-11;09:30;0.0;Alk-Tot;0;;90.7;mg/l;Fair;
ZAF00221;1995-05-11;09:30;0.0;EC;0;;460.0;µS/cm;Fair;
